name,address,phone,description
Thế Giới,"46 Trần Hưng Đạo, Hoàn Kiếm, Hanoi, Vietnam",02438253841,
NXB Trẻ,"161B Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3 , TP. Hồ Chí Minh",(84.028) 39316289 - 39316211 - 39317849,
NXB Hồng Đức,"65 Tràng Thi, Hàng Bông, Hoàn Kiếm, Hà Nội",02439260024,
NXB Bách Khoa Hà Nội,Nhà E – Ngõ 17 – Tạ Quang Bửu – Hai Bà Trưng – Hà Nội.,02438684569,
NXB Thông Tin Và Truyền Thông,"Tầng 6, Tòa nhà Cục Tần số vô tuyến điện, 115 Trần Duy Hưng, Cầu Giấy, Hà Nội",9004626496,
NXB Tổng Hợp TPHCM,"62 Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, TP.HCM",(028) 38 256 804 - 38 225 340 – 38 296 764,
Dân Trí,"Số 9, ngõ 26, phố Hoàng Cầu, phường Ô Chợ Dừa, quận Đống Đa, Hà Nội",(024).66860751 – (024).66810754 – (024).66860753,
NXB Kim Đồng,"55 Quang Trung, Hai Bà Trưng, Hà Nội",01900571595,
NXB Hà Nội,"Số 4 Phố Tống Duy Tân – quận Hoàn Kiếm – Hà Nội

",02438252916,
Lao Động,175 Giảng Võ - Đống Đa - Hà Nội,0438515380,
